total_revenue_type20,total_revenue_type21,n_purchasers_type20,n_purchasers_type21,n_users_type20,n_users_type21,conversion_rate_type20,conversion_rate_type21,arppu_type20,arppu_type21,arpu_type20,arpu_type21
10890000,11990000,128,103,465,435,0.2752688172043011,0.2367816091954023,85078.125,116407.76699029126,23419.354838709678,27563.2183908046
13060000,10920000,139,85,481,419,0.288981288981289,0.20286396181384247,93956.8345323741,128470.58823529411,27151.76715176715,26062.05250596659
12970000,9760000,148,76,433,467,0.3418013856812933,0.16274089935760172,87635.13513513513,128421.05263157895,29953.810623556583,20899.35760171306
13185000,10670000,137,87,442,458,0.30995475113122173,0.18995633187772926,96240.87591240875,122643.67816091955,29830.31674208145,23296.943231441048
12130000,11280000,134,90,477,423,0.2809224318658281,0.2127659574468085,90522.3880597015,125333.33333333333,25429.769392033544,26666.666666666668
13515000,8640000,145,71,471,429,0.3078556263269639,0.1655011655011655,93206.89655172414,121690.14084507042,28694.267515923566,20139.86013986014
12965000,12100000,143,93,449,451,0.3184855233853007,0.20620842572062084,90664.33566433567,130107.52688172043,28875.278396436526,26829.268292682926
13780000,10210000,145,79,458,442,0.3165938864628821,0.17873303167420815,95034.4827586207,129240.50632911392,30087.336244541486,23099.547511312216
14170000,14240000,142,102,429,471,0.331002331002331,0.21656050955414013,99788.73239436619,139607.8431372549,33030.30303030303,30233.545647558385
11025000,12810000,132,96,425,475,0.31058823529411766,0.20210526315789473,83522.72727272728,133437.5,25941.176470588234,26968.42105263158
14030000,10970000,156,92,470,430,0.33191489361702126,0.21395348837209302,89935.89743589744,119239.13043478261,29851.063829787236,25511.627906976744
12690000,9290000,134,83,459,441,0.29193899782135074,0.18820861678004536,94701.49253731343,111927.7108433735,27647.058823529413,21065.75963718821
14740000,13170000,142,109,448,452,0.3169642857142857,0.2411504424778761,103802.81690140846,120825.6880733945,32901.78571428572,29137.16814159292
10780000,12970000,129,98,444,456,0.2905405405405405,0.2149122807017544,83565.89147286821,132346.9387755102,24279.27927927928,28442.98245614035
10550000,8180000,123,70,451,449,0.2727272727272727,0.155902004454343,85772.35772357724,116857.14285714286,23392.461197339246,18218.26280623608
9655000,12880000,109,94,425,475,0.2564705882352941,0.19789473684210526,88577.98165137615,137021.27659574468,22717.647058823528,27115.78947368421
11235000,9820000,126,85,453,447,0.2781456953642384,0.19015659955257272,89166.66666666667,115529.41176470589,24801.324503311258,21968.680089485457
11465000,12000000,122,86,449,451,0.2717149220489978,0.19068736141906872,93975.40983606558,139534.88372093023,25534.521158129177,26607.538802660754
11140000,10560000,125,82,452,448,0.27654867256637167,0.18303571428571427,89120.0,128780.48780487805,24646.017699115044,23571.428571428572
12345000,11410000,136,87,463,437,0.2937365010799136,0.19908466819221968,90772.05882352941,131149.4252873563,26663.06695464363,26109.83981693364
10040000,11950000,118,86,426,474,0.27699530516431925,0.18143459915611815,85084.74576271187,138953.48837209304,23568.075117370892,25210.97046413502
10085000,10640000,120,89,445,455,0.2696629213483146,0.1956043956043956,84041.66666666667,119550.5617977528,22662.921348314605,23384.615384615383
11590000,10690000,134,90,448,452,0.29910714285714285,0.19911504424778761,86492.53731343284,118777.77777777778,25870.535714285714,23650.442477876106
